Na,Cu,Lu,Cl,370.87,1156,0.93,495.85,1357.77,3200,1.9,745.48,1925,3675,1.27,523.52,0.97,22.98977,-1.2544847,1.31524918,29.21,-1.260241383,39.7,1.54,495.8,1.9,52.7,2.23,23.7,5.139,47.286,71.641,71,1.23,141,2.601,98.01,11,8.96,63.456,-3.64288728,4.3787397,11.08,-3.68065482,11.8,1.17,745.4,1.278,118.3,1.57,7.1,7.726,20.292,36.83,16.5,0.385,401,13.14,300.5,29,9.84,174.967,-4.38490891,2.96715842,29.35,-4.52300002,29.5,1.56,524,1.734,50,2.25,17.78,5.43,13.888,20.957,8.2,0.15,16.4,18.6,355,71,3.214,35.4527,-0.9545457,2.21271389,20.54,-1.784433755,29,0.99,1251.1,0.99,348.8,0.97,16.9,12.967,23.81,39.611,0,0.48,0.0089,3.21,10.2,17,171.6,239.11,3.16,1251.19,1.39,0.54,0.861,1.67,-1.919940315
Na,Ag,Ga,Cl,370.87,1156,0.93,495.85,1234.93,2435,1.93,731,302.91,2477,1.81,578.84,0.97,22.98977,-1.2544847,1.31524918,29.21,-1.260241383,39.7,1.54,495.8,1.9,52.7,2.23,23.7,5.139,47.286,71.641,71,1.23,141,2.601,98.01,11,10.5,107.868,-2.71997917,4.0527598,16.2,-2.76539356,17,1.34,731,1.444,125.7,1.75,10.3,7.576,21.49,34.83,18.9,0.235,429,11.3,250.63,47,5.91,69.723,-2.97839076,3.94985673,17.94,-3.012255303,19.6,1.26,578.8,1.41,29,1.81,11.8,5.999,20.51,30.71,19.7,0.371,40.6,5.59,256.06,31,3.214,35.4527,-0.9545457,2.21271389,20.54,-1.784433755,29,0.99,1251.1,0.99,348.8,0.97,16.9,12.967,23.81,39.611,0,0.48,0.0089,3.21,10.2,17,171.6,239.11,3.16,1251.19,1.39,1.15,0.62,1.67,-1.469191245
Na,Ag,Lu,Cl,370.87,1156,0.93,495.85,1234.93,2435,1.93,731,1925,3675,1.27,523.52,0.97,22.98977,-1.2544847,1.31524918,29.21,-1.260241383,39.7,1.54,495.8,1.9,52.7,2.23,23.7,5.139,47.286,71.641,71,1.23,141,2.601,98.01,11,10.5,107.868,-2.71997917,4.0527598,16.2,-2.76539356,17,1.34,731,1.444,125.7,1.75,10.3,7.576,21.49,34.83,18.9,0.235,429,11.3,250.63,47,9.84,174.967,-4.38490891,2.96715842,29.35,-4.52300002,29.5,1.56,524,1.734,50,2.25,17.78,5.43,13.888,20.957,8.2,0.15,16.4,18.6,355,71,3.214,35.4527,-0.9545457,2.21271389,20.54,-1.784433755,29,0.99,1251.1,0.99,348.8,0.97,16.9,12.967,23.81,39.611,0,0.48,0.0089,3.21,10.2,17,171.6,239.11,3.16,1251.19,1.39,1.15,0.861,1.67,-1.942544436
K,Ag,Lu,Cl,336.53,1032,0.82,418.81,1234.93,2435,1.93,731,1925,3675,1.27,523.52,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,10.5,107.868,-2.71997917,4.0527598,16.2,-2.76539356,17,1.34,731,1.444,125.7,1.75,10.3,7.576,21.49,34.83,18.9,0.235,429,11.3,250.63,47,9.84,174.967,-4.38490891,2.96715842,29.35,-4.52300002,29.5,1.56,524,1.734,50,2.25,17.78,5.43,13.888,20.957,8.2,0.15,16.4,18.6,355,71,3.214,35.4527,-0.9545457,2.21271389,20.54,-1.784433755,29,0.99,1251.1,0.99,348.8,0.97,16.9,12.967,23.81,39.611,0,0.48,0.0089,3.21,10.2,17,171.6,239.11,3.16,1251.19,1.64,1.15,0.861,1.67,-2.136427816
K,Ag,Y,I,336.53,1032,0.82,418.81,1234.93,2435,1.93,731,1799,3609,1.22,599.87,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,10.5,107.868,-2.71997917,4.0527598,16.2,-2.76539356,17,1.34,731,1.444,125.7,1.75,10.3,7.576,21.49,34.83,18.9,0.235,429,11.3,250.63,47,4.47,88.9059,-6.34029752,3.23208944,32.53,-6.464599775,32.9,1.62,616,1.81,0,2.27,19.8,6.38,12.24,20.52,11.3,0.3,17.2,17.15,393.3,39,4.93,126.9045,-1.05350365,4.49323253,35.36,-1.505402418,42.5,1.33,1008.4,1.33,295.3,1.32,25.74,10.451,19.131,33,87,0.145,0.449,7.76,20.9,53,386.85,457.4,2.66,1008.39,1.64,1.15,0.9,2.06,-1.143932918
Rb,Cu,Y,I,312.46,961,0.82,403.03,1357.77,3200,1.9,745.48,1799,3609,1.22,599.87,1.532,85.4678,-0.96193707,0.09088364,88.64,-0.963335025,93,2.16,403,2.48,46.89,2.98,55.9,4.177,27.28,40,91,0.363,58.2,2.34,69.2,37,8.96,63.456,-3.64288728,4.3787397,11.08,-3.68065482,11.8,1.17,745.4,1.278,118.3,1.57,7.1,7.726,20.292,36.83,16.5,0.385,401,13.14,300.5,29,4.47,88.9059,-6.34029752,3.23208944,32.53,-6.464599775,32.9,1.62,616,1.81,0,2.27,19.8,6.38,12.24,20.52,11.3,0.3,17.2,17.15,393.3,39,4.93,126.9045,-1.05350365,4.49323253,35.36,-1.505402418,42.5,1.33,1008.4,1.33,295.3,1.32,25.74,10.451,19.131,33,87,0.145,0.449,7.76,20.9,53,386.85,457.4,2.66,1008.39,1.72,0.54,0.9,2.06,-1.125574055
K,Ag,Er,Cl,336.53,1032,0.82,418.81,1234.93,2435,1.93,731,1802,3141,1.24,589.3,0.86,39.0983,-1.096516,-0.05407911,72.1,-1.097539713,75.6,2.03,418.8,2.35,48.36,2.77,45.46,4.341,31.625,45.72,82,0.757,102.5,2.33,76.9,19,10.5,107.868,-2.71997917,4.0527598,16.2,-2.76539356,17,1.34,731,1.444,125.7,1.75,10.3,7.576,21.49,34.83,18.9,0.235,429,11.3,250.63,47,9.07,167.26,-4.42187783,3.16018015,30.68,-4.563633745,30.6,1.57,589,1.757,50,2.45,18.4,6.101,11.929,22.739,9.4,0.168,14.3,17.15,292.88,68,3.214,35.4527,-0.9545457,2.21271389,20.54,-1.784433755,29,0.99,1251.1,0.99,348.8,0.97,16.9,12.967,23.81,39.611,0,0.48,0.0089,3.21,10.2,17,171.6,239.11,3.16,1251.19,1.64,1.15,0.89,1.67,-2.134904363
Na,Cu,Y,Cl,370.87,1156,0.93,495.85,1357.77,3200,1.9,745.48,1799,3609,1.22,599.87,0.97,22.98977,-1.2544847,1.31524918,29.21,-1.260241383,39.7,1.54,495.8,1.9,52.7,2.23,23.7,5.139,47.286,71.641,71,1.23,141,2.601,98.01,11,8.96,63.456,-3.64288728,4.3787397,11.08,-3.68065482,11.8,1.17,745.4,1.278,118.3,1.57,7.1,7.726,20.292,36.83,16.5,0.385,401,13.14,300.5,29,4.47,88.9059,-6.34029752,3.23208944,32.53,-6.464599775,32.9,1.62,616,1.81,0,2.27,19.8,6.38,12.24,20.52,11.3,0.3,17.2,17.15,393.3,39,3.214,35.4527,-0.9545457,2.21271389,20.54,-1.784433755,29,0.99,1251.1,0.99,348.8,0.97,16.9,12.967,23.81,39.611,0,0.48,0.0089,3.21,10.2,17,171.6,239.11,3.16,1251.19,1.39,0.54,0.9,1.67,-1.910724316
Rb,Ag,In,Br,312.46,961,0.82,403.03,1234.93,2435,1.93,731,429.75,2345,1.78,558.3,1.532,85.4678,-0.96193707,0.09088364,88.64,-0.963335025,93,2.16,403,2.48,46.89,2.98,55.9,4.177,27.28,40,91,0.363,58.2,2.34,69.2,37,10.5,107.868,-2.71997917,4.0527598,16.2,-2.76539356,17,1.34,731,1.444,125.7,1.75,10.3,7.576,21.49,34.83,18.9,0.235,429,11.3,250.63,47,7.31,114.82,-2.65390512,8.39826763,24.43,-2.66680196,26.1,1.44,558.3,1.66,29,2,15.7,5.786,18.869,28.03,32.1,0.233,81.6,3.26,226.335,49,3.12,79.904,-0.99863179,2.00721501,25.56,-1.583025338,65.1,1.14,1139.9,1.14,324.6,1.12,25.6,11.814,21.8,36,0,0.226,0.122,5.286,14.725,35,265.8,332,2.96,1139.86,1.72,1.15,0.8,1.82,-1.118205347
Na,Cu,In,Br,370.87,1156,0.93,495.85,1357.77,3200,1.9,745.48,429.75,2345,1.78,558.3,0.97,22.98977,-1.2544847,1.31524918,29.21,-1.260241383,39.7,1.54,495.8,1.9,52.7,2.23,23.7,5.139,47.286,71.641,71,1.23,141,2.601,98.01,11,8.96,63.456,-3.64288728,4.3787397,11.08,-3.68065482,11.8,1.17,745.4,1.278,118.3,1.57,7.1,7.726,20.292,36.83,16.5,0.385,401,13.14,300.5,29,7.31,114.82,-2.65390512,8.39826763,24.43,-2.66680196,26.1,1.44,558.3,1.66,29,2,15.7,5.786,18.869,28.03,32.1,0.233,81.6,3.26,226.335,49,3.12,79.904,-0.99863179,2.00721501,25.56,-1.583025338,65.1,1.14,1139.9,1.14,324.6,1.12,25.6,11.814,21.8,36,0,0.226,0.122,5.286,14.725,35,265.8,332,2.96,1139.86,1.39,0.54,0.8,1.82,-0.863395709
